Date,PMI
01/01/2020,50.9
01/12/2019,47.8
01/11/2019,48.1
01/10/2019,48.5
01/09/2019,48.2
01/08/2019,48.8
01/07/2019,51.3
01/06/2019,51.6
01/05/2019,52.3
01/04/2019,53.4
01/03/2019,54.6
01/02/2019,54.1
01/01/2019,56.6
01/12/2018,54.3
01/11/2018,58.8
01/10/2018,57.5
01/09/2018,59.5
01/08/2018,60.8
01/07/2018,58.4
01/06/2018,60
01/05/2018,58.7
01/04/2018,57.9
01/03/2018,59.3
01/02/2018,60.7
01/01/2018,59.1
01/12/2017,59.3
01/11/2017,58.2
01/10/2017,58.5
01/09/2017,60.2
01/08/2017,59.3
01/07/2017,56.5
01/06/2017,56.7
01/05/2017,55.5
01/04/2017,55.3
01/03/2017,56.6
01/02/2017,57.6
01/01/2017,56
01/12/2016,54.5
01/11/2016,53.5
01/10/2016,52
01/09/2016,51.7
01/08/2016,49.4
01/07/2016,52.3
01/06/2016,52.8
01/05/2016,51
01/04/2016,50.7
01/03/2016,51.7
01/02/2016,49.7
01/01/2016,48.2
01/12/2015,48
01/11/2015,48.4
01/10/2015,49.4
01/09/2015,50.2
01/08/2015,51.1
01/07/2015,52.7
01/06/2015,53.5
01/05/2015,52.8
01/04/2015,51.5
01/03/2015,51.5
01/02/2015,52.9
01/01/2015,53.5
01/12/2014,55.1
01/11/2014,57.6
01/10/2014,57.9
01/09/2014,56.1
01/08/2014,58.1
01/07/2014,56.4
01/06/2014,55.7
01/05/2014,55.6
01/04/2014,55.3
01/03/2014,54.4
01/02/2014,54.3
01/01/2014,51.3
01/12/2013,56.5
01/11/2013,57
01/10/2013,56.6
01/09/2013,56
01/08/2013,56.3
01/07/2013,54.9
01/06/2013,52.5
01/05/2013,50
01/04/2013,50
01/03/2013,51.5
01/02/2013,53.1
01/01/2013,52.3
01/12/2012,50.4
01/11/2012,49.5
01/10/2012,51.2
01/09/2012,52.2
01/08/2012,51.1
01/07/2012,50.6
01/06/2012,51
01/05/2012,53.2
01/04/2012,53.7
01/03/2012,53
01/02/2012,52.4
01/01/2012,52.8
01/12/2011,53.1
01/11/2011,52.1
01/10/2011,51.8
01/09/2011,52.8
01/08/2011,53
01/07/2011,52.9
01/06/2011,56.6
01/05/2011,53.7
01/04/2011,58.9
01/03/2011,59.1
01/02/2011,59.3
01/01/2011,59
01/12/2010,57.5
01/11/2010,57.6
01/10/2010,57.7
01/09/2010,56.3
01/08/2010,58
01/07/2010,56.4
01/06/2010,56.4
01/05/2010,58.3
01/04/2010,58.1
01/03/2010,58.8
01/02/2010,55.8
01/01/2010,57.2
01/12/2009,55.3
01/11/2009,54.4
01/10/2009,56
01/09/2009,54.4
01/08/2009,53.5
01/07/2009,49.9
01/06/2009,45.8
01/05/2009,41.7
01/04/2009,39.5
01/03/2009,36
01/02/2009,35.5
01/01/2009,34.9
01/12/2008,33.1
01/11/2008,36.5
01/10/2008,38.9
01/09/2008,44.8
01/08/2008,49.2
01/07/2008,50
01/06/2008,49.8
01/05/2008,48.8
01/04/2008,48.8
01/03/2008,48.3
01/02/2008,47.6
01/01/2008,50.3
01/12/2007,49
01/11/2007,50.5
01/10/2007,51.1
01/09/2007,51
01/08/2007,50.9
01/07/2007,52.4
01/06/2007,52.6
01/05/2007,52.5
01/04/2007,52.6
01/03/2007,50.7
01/02/2007,51.9
01/01/2007,49.5
01/12/2006,51.4
01/11/2006,50.3
01/10/2006,51.4
01/09/2006,52.2
01/08/2006,53.7
01/07/2006,53
01/06/2006,52
01/05/2006,53.7
01/04/2006,55.2
